;Names;FA;FA StdDev;MD;MD StdDev;RD;RD StdDev;AD;AD StdDev;Time
0;Subject_002_S_6030;0.6789304991393298;0.1907537955806085;0.0008292144857412642;0.00021627007519846932;0.00044744912563849526;0.00028834871306494846;0.001592745205946802;0.0001644361158127247;10.5
1;Subject_032_S_6602;0.6158236845187121;0.19724722860521907;0.0010981506226629266;0.00042388052242499;0.0006772810439828832;0.0004902560190692126;0.0019398897800230138;0.0003513010801820467;19.11
2;Subject_033_S_10016;0.7177979473047483;0.21427431475460423;0.0009192172194501507;0.0003523741901844998;0.00046851750684517184;0.0004278530607418383;0.0018206166446601089;0.00029721484535481216;13.71
3;Subject_033_S_10740;0.6748267214192085;0.21384040212786;0.0008717330336287184;0.00030746170062831337;0.00048743776254488787;0.00037596186178178944;0.0016403235757963793;0.0002329409645021919;11.27
4;Subject_033_S_10175;0.657991215452518;0.20726481955339032;0.0009744500786825975;0.0004042443898322586;0.0005649775998998396;0.00047203862822523695;0.0017933950362481136;0.0003338619825141972;11.93
5;Subject_041_S_7017;0.6589463545770897;0.19015381074072166;0.0009870358233101855;0.0003869168761629338;0.0005725256663644582;0.0004348780277228207;0.00181605613720164;0.0003370613357336365;16.84
6;Subject_032_S_6294;0.6410349198559085;0.20213329460866813;0.000964993926453463;0.00034350701015826816;0.0005757803098801985;0.00040653425390212167;0.0017434211595999923;0.00026757968223067917;19.15
7;Subject_041_S_6731;0.6742868757432773;0.15922147021387187;0.0008830507595945748;0.0002763711208450574;0.0004856378341216544;0.00031131489535687456;0.0016778766105404156;0.0002675500020894478;9.29
8;Subject_002_S_4799;0.6698131587203825;0.19458632832498673;0.000837796447179585;0.00025243546477347683;0.00045867053628232616;0.0003200659664829305;0.0015960482689741022;0.00024483217169555394;10.45
9;Subject_137_S_6826;0.6464186163317854;0.2246845142127961;0.001059435918738148;0.00044724499671150556;0.0006331014520727046;0.0005190503110451185;0.0019121048520690342;0.00035081012926579404;11.72
10;Subject_033_S_6889;0.7789518014749545;0.1875907629541115;0.0007858158602118584;0.00035495691757482577;0.00035018985774608314;0.00042243704245842453;0.0016570678651434087;0.000275365910938923;20.59
11;Subject_016_S_6839;0.6645592822026485;0.22946398511560515;0.001038680807596889;0.0004042894379388414;0.0006013816563589694;0.00048319896047804454;0.0019132791100727284;0.00030167134905034407;8.65
12;Subject_016_S_7039;0.670885926169074;0.19950762993311308;0.0008720667871970622;0.0003576541656800471;0.0004989038487970866;0.0003865097715758555;0.0016183926639970132;0.0003391854008124217;9.75
13;Subject_016_S_6381;0.669818439837508;0.20319435042802503;0.0009711553469670103;0.00034870242748354075;0.0005475720381226451;0.0004100762338531801;0.0018183219646557402;0.0002809449890381955;18.67
14;Subject_033_S_10147;0.6392993076239981;0.19967992913226734;0.0008846309109532984;0.0002727273690775059;0.0005233086597346516;0.0003417685910326215;0.0016072754133905924;0.000178436177897624;11.96
15;Subject_003_S_6258;0.6201781635374972;0.2083681817423102;0.000970357303541899;0.0003485173828231587;0.000588206649238654;0.0004198716050620951;0.0017346586121483887;0.00028839171113683175;12.5
16;Subject_033_S_10391;0.6728984257260514;0.20605797305818954;0.0008329167491762652;0.0002978592652805295;0.0004645001848988444;0.00036798181455700103;0.0015697498777311068;0.0002503548103877592;10.72
17;Subject_002_S_6009;0.7125656886847761;0.17445520726384725;0.0008465588323351745;0.0002685922429922083;0.00043226384466069924;0.0003239958528940843;0.0016751488076841247;0.00022559581850678696;17.36
18;Subject_033_S_7079;0.6679992248426545;0.23604586455069088;0.0009990413753413496;0.0004696993268843188;0.0005799891947624125;0.0005320115963365991;0.001837145736499224;0.00041509270869643757;10.72
19;Subject_016_S_6771;0.6799481970137319;0.24814092187186365;0.0009165758703292014;0.000480461670022501;0.0005310989105565687;0.0005363790170040038;0.0016875297898744665;0.0004355931745431085;9.84
20;Subject_003_S_6268;0.5946347185646587;0.1707570454329369;0.0009306575415376795;0.00031784791886767006;0.0005843642078987235;0.00036903758832515504;0.0016232442088155914;0.00028648636928325634;11.88
21;Subject_168_S_6085;0.66283746994007;0.18102419395117228;0.0008448475342707402;0.00024193708977388558;0.0004671201330017524;0.00030052347556079855;0.0016003023368087155;0.00025186648597728587;12.58
22;Subject_137_S_6812;0.7226958621840909;0.18977756415483474;0.0008726456478814806;0.00035808575469951855;0.00045048748269887047;0.00040752287534275185;0.0017169619782467012;0.0002919715856594672;11.47
23;Subject_033_S_6572;0.712347006527625;0.1964506008799336;0.0008331715378990271;0.00033232088516642317;0.0004334897579731504;0.00039646188955465414;0.0016325350977507804;0.00025764538963083566;9.41
24;Subject_137_S_6903;0.6796232052283222;0.2045697261436082;0.0008564183772116748;0.00033793229298942145;0.0004753444010392709;0.00038950739302134635;0.001618566329556483;0.0002976031876949995;10.24
25;Subject_032_S_6600;0.6609246678219426;0.18559066168907493;0.0008660530824283967;0.00027918523325304697;0.0004855566002131721;0.0003326651284578719;0.001627046046858846;0.0002678156334560892;17.09
26;Subject_037_S_4706;0.6739199571667274;0.18917385502190331;0.0008929900562607378;0.00033016656370671;0.0004903387538410804;0.0003928478154152208;0.0016982926611000529;0.0003181280244934115;12.17
27;Subject_003_S_1122;0.6846755771742061;0.17923632990725333;0.0009400769850132901;0.0002715372382470618;0.0005031727434855591;0.0003303266962697586;0.0018138854680687525;0.00024585074540729685;8.11
28;Subject_011_S_7048;0.6587111802835047;0.20188011509158996;0.0009477215231101693;0.000299036478583097;0.0005346122655010457;0.00037440388102746126;0.0017739400383284163;0.00024661532290211753;11.18
29;Subject_035_S_6160;0.7172974876130415;0.1637898861456527;0.0008853029608969622;0.0002718142312224795;0.0004388913985670965;0.0003181185237956106;0.001778126085556694;0.00028340678463141327;19.72
30;Subject_003_S_6833;0.658884562383854;0.20498273623076027;0.0009814762247945636;0.0003274882009784839;0.0005595828047237012;0.00040072187395983385;0.0018252630649362887;0.0002647063983528363;10.89
31;Subject_137_S_6557;0.7164345581550794;0.19052089451384044;0.0009030978303929497;0.0003865715765604435;0.00047044496791007244;0.0004255732730100656;0.001768403555358704;0.00036203013142223757;21.05
32;Subject_168_S_6098;0.6085771702972507;0.19686320882038066;0.000942443201012074;0.0002873610351914117;0.0005739443864297082;0.00036356798789309233;0.0016794408301768057;0.00028208953932689463;20.0
33;Subject_168_S_6142;0.6173550508510238;0.19025317944917344;0.0009388526510076018;0.00029876562157961915;0.0005695159635774693;0.000354969124138145;0.001677526025867867;0.00026152102734170493;10.55
34;Subject_137_S_6883;0.645158525085951;0.19582797989522344;0.0009236415570387131;0.00036852464955917274;0.0005452087758351455;0.00042839079834148326;0.0016805071194458483;0.00030019164006218896;12.05
35;Subject_032_S_6700;0.6644152398043957;0.20829045623278322;0.0009658809104837441;0.00038386252135688475;0.0005493284884336472;0.00045083975971740755;0.0017989857545839378;0.0003343436689616894;12.31
36;Subject_016_S_7002;0.6526270818992415;0.21376199246297872;0.0010902167334700733;0.000456289751575039;0.0006495119426847615;0.0005149824509532693;0.0019716263150406973;0.0003645705223976602;19.14
37;Subject_033_S_10742;0.7584634879273852;0.17785670778939672;0.0007830264635806319;0.00027523920552981765;0.0003604788140866576;0.0003304924748074191;0.0016281217625685807;0.0002443119963070122;11.69
38;Subject_033_S_10229;0.6695328715794406;0.22564406731170905;0.0009053236046392087;0.0003825474806804983;0.0005135588089453353;0.0004381522497354711;0.0016888531960269554;0.00036184944971299094;11.0
39;Subject_035_S_6156;0.6266282469992962;0.17824906052871184;0.0009473773839085706;0.00032246163042288833;0.0005648696255336412;0.0003744282960553313;0.001712392900658429;0.00030773335937987154;12.39
40;Subject_168_S_6350;0.6696522907471529;0.2021470186795494;0.0009465607341111197;0.0002877642476112;0.0005240886890739071;0.00036993466264216394;0.0017915048241855449;0.00022159968591863946;10.98
41;Subject_016_S_6949;0.6509850496076799;0.22212090096320927;0.0009889328781827124;0.00041395883967982916;0.0005827470715790134;0.0004719694292585135;0.0018013044913901101;0.00036940660563402835;10.91
42;Subject_003_S_6432;0.692695546796315;0.2204899868622132;0.0009599798228641819;0.0004352432244035271;0.0005251035071441364;0.0005057737960662298;0.001829732454304273;0.0003755578339291237;11.05
43;Subject_033_S_10005;0.6901206120563563;0.21241487134695203;0.0009033346896942792;0.0003808731519340962;0.0004913846798598466;0.0004385257747103565;0.0017272347093631442;0.000369168906613051;20.52
44;Subject_094_S_6736;0.5871806529448517;0.2048597207573464;0.0009931185535205394;0.00032022257479884686;0.0006292555594107623;0.00039316462905356623;0.0017208445417400938;0.0002724414419556525;11.73
45;Subject_033_S_7088;0.6858275188621933;0.20156733885831743;0.0009247104950578455;0.00038657645297880276;0.0005128660221020566;0.0004380764391055012;0.0017483994409694236;0.00033354322037470026;11.64
46;Subject_037_S_4028;0.7187463275833241;0.1721324010977125;0.0008352770426738646;0.0002650390201554025;0.00042229014697464185;0.0003250156220328419;0.0016612508340723105;0.0001954721319396036;12.11
47;Subject_033_S_10793;0.7028909220062063;0.23045804361503472;0.0009508767271117972;0.00041267435354543005;0.0005089919642543489;0.0004953140009495123;0.0018346462528266935;0.00033821933551062195;11.89
48;Subject_168_S_6321;0.6211154707901493;0.21223532854788357;0.0010237316572339265;0.0003697762966868504;0.0006277572037659917;0.0004362549647803145;0.0018156805641697965;0.0002949603252556683;19.38
49;Subject_016_S_6773;0.6432558286007157;0.2145605794556665;0.0009728341001834592;0.00041084189116251293;0.0005819445821960476;0.0004763697191705428;0.0017546131361582825;0.0003425534342112806;11.29
50;Subject_033_S_10021;0.6929347989979412;0.2387782743957397;0.0009223036819503566;0.00042778096014723955;0.0005093368422922953;0.0004976358528180089;0.0017482373612664795;0.0003451820959099017;12.04
51;Subject_032_S_6701;0.6374741042467903;0.19976316618249115;0.0008760902215226761;0.00025748942634031745;0.0005078013147153464;0.0003320158589040803;0.0016126680351373358;0.00025019901580593647;11.14
52;Subject_041_S_6292;0.6602939324232227;0.20613419569286076;0.0010017326037521348;0.00030974884732874676;0.0005657037166407287;0.00039402672881242394;0.001873790377974947;0.0002270325494077737;11.89
53;Subject_037_S_0377;0.6431536324128488;0.2207086800543589;0.0010332058842675391;0.000360281398860262;0.0006078295272282586;0.0004442592787314829;0.0018839585983460997;0.00026758220776634296;19.67
